"","MAbias","MAvar","MAmse","poisbias","poisvar","poismse","gambias","gamvar","gammse","weibbias","weibvar","weibmse","bptbias","bptvar","bptmse","lnormbias","lnormvar","lnormmse"
"15",624.943993310435,661434.661953928,1051989.65672872,610.339119176052,605068.105965386,977581.946361985,587.980047248211,514371.423391341,860091.95935335,620.308085067811,631220.749271071,1016002.86967156,492.488077318193,1055741.40307352,1298285.90937409,718.539888576489,2148632.20765169,2664931.7791272
"16",594.917530922668,396191.454968062,750118.323567186,615.234246617939,1244821.31973939,1623334.49795093,589.669479137117,516905.195877169,864615.290503007,594.917530922668,396191.454968062,750118.323567186,501.532929943488,743640.048257909,995175.328075608,759.805551253007,1980284.49354294,2557588.96925783
"17",4819.01576020549,220379899.949755,243602812.846864,5634.03618030209,56880081.4202949,88622445.1012478,5602.04909538719,96049983.1601269,127432937.227255,5509.68636276896,122353790.053649,152710433.869731,4298.0933737054,186661454.380262,205135061.029352,4819.01576020549,220379899.949755,243602812.846864
"18",465.945876124332,1028819.95228559,1245925.51176286,467.616027354927,13503849.8430257,13722514.5920649,477.983042854158,1090435.4518751,1318903.24113122,466.375732144038,1031662.40573092,1249168.72926381,473.771362928398,1602957.96612039,1827417.27045142,574.657933819713,1563550.01524744,1893781.75614938
"19",1612.11346365517,2098938.47346481,4697848.29316308,1634.13783262681,4499037.06449692,7169443.52051915,1599.91305044839,1627609.76492507,4187331.53392013,1661.81824685651,1813082.52677465,4574722.41235991,1452.03366135875,2526842.13449591,4635243.88821481,1623.55591694296,2180071.92441746,4816005.73985795
"20",1296.76311045037,821427.863219858,2503022.42784476,1320.87126881017,8084485.05541079,9829185.96417898,1324.96366039957,790879.675508855,2546408.37688829,1295.8218525371,824189.987804933,2503344.26131762,1257.49552620242,1478016.14283826,3059311.14125736,1295.44987248329,839473.463185937,2517663.83530291
"21",-2018.03735610087,99916.4687818299,4172391.23940042,-2013.31327464068,398018.70189601,4451449.0437404,-2025.873574405,106263.53950737,4210427.27897988,-2018.03735610087,99916.4687818299,4172391.23940042,-2049.34507369151,168836.437617523,4368651.66868117,-1980.98381284109,259351.471023764,4183648.33776217
"22",36173.8429010114,8993629845.11958,10302176755.3466,35232.1156483977,8649546128.45617,9890848101.51824,36136.1369033378,9504164264.65184,10809984654.9486,36844.1333820962,9891598217.15942,11249088381.8371,22640.4560524171,26132333662.0584,26644923912.3199,78404.1369962029,134090115022.099,140237323720.218
"23",105.378666738529,259191.982246102,270296.645649693,127.749066487542,1782374.8466733,1798694.67066174,105.535712705225,282125.358190975,293263.144847175,107.896202118559,258727.610536311,270369.20096792,-47.1450668304692,258450.337478089,260672.994804538,120.36779468288,349781.951842654,364270.357839474
"24",721.734050722668,2212171.87837511,2733071.91834766,687.148163476704,2074811.95060564,2546984.54917505,686.734926594939,2003756.68831939,2475361.54772475,729.953575104448,2017937.02708453,2550769.2488923,164.904168235211,2004932.49481828,2032125.87951963,1245.85480893325,19205395.9102207,20757550.1151628
"25",426.386962821867,534698.337164311,716504.179228767,413.729968483939,1092837.34758556,1264009.83440728,392.490952495069,586394.688615404,740443.83640589,428.138696085876,536787.264945711,720090.008031826,257.121218496854,1000991.44077838,1067102.76177968,684.176057640909,15220504.5772154,15688601.4550645
"26",1539.1996131978,1784818.60765064,4153954.05691889,1505.75724477078,8460933.5323694,10728238.4125491,1468.60991902251,1372057.55101947,3528872.64527076,1511.4688561616,1329235.99960019,3613774.10274666,1422.94747889153,2611999.44263721,4636778.97032099,1539.1996131978,1784818.60765064,4153954.05691889
"27",-115.417989020734,322330.270646694,335651.582836284,-118.444383461591,807369.62788108,821398.699854677,-118.970962706611,350347.153930965,364501.243898303,-115.417989020734,322330.270646694,335651.582836284,-171.46449781309,676694.687770332,706094.761780627,-30.3011746327762,956297.361912104,957215.52309623
"28",28.7230049122202,7237.47230712071,8062.48331830813,34.3561719961706,31218.0522737671,32398.3988279976,30.6972912981462,9104.24881442144,10046.5725074647,28.7230049122202,7237.47230712071,8062.48331830813,30.0289569158047,16676.3408426908,17578.079096142,48.188453012363,23694.3069165237,26016.4339202484
"29",-499.64757691266,55939.7928965387,305587.494011231,-499.409592223252,3595717.88188184,3845127.82268644,-500.587003968719,55178.754906083,305766.103448461,-496.686782357389,51527.8287677223,298225.588536258,-564.121597919834,55712.480490243,373945.65772987,-499.852778363377,55613.8717300819,305466.671767669
